Totalizador Geral: 5
2278510;14270265000114  ;15-BANCO BRB;6098138;REJECTED-RECORD TERMINAL INFO;29/03/2016;29/03/2016;7.2;4528-*ALUGUEL DE TERMINAL;
3128061;21162561000167  ;26-BANCO BNB;6099828;ALTERACAO DE TAXA;29/03/2016;29/03/2016;216;4512-*AJUSTE ALUGUEL DE TERMINAL;
3455100;23639884000124  ;15-BANCO BRB;6099378;COB.IND/EST.ALUG.POS/LE/N LOG;29/03/2016;29/03/2016;69.6;4512-*AJUSTE ALUGUEL DE TERMINAL;
3507774;24057578000142  ;46-PAYMENTS DO BRASIL;6099736;CARTAS DE BOAS VINDAS;29/03/2016;29/03/2016;-49;4517-*AJUSTE REF TAXA DE ADESAO;
3507774;24057578000142  ;46-PAYMENTS DO BRASIL;6099737;INCLUSAO DE ACORDOS;29/03/2016;29/03/2016;-49;4517-*AJUSTE REF TAXA DE ADESAO;
